firstName,lastName,attempts,completions,interceptions,touchdowns,yards,whenPlayed,ourTeam,ourScore,theirTeam,theirScore
Jack,Kennedy,28,13,0,2,153,2012-04-25,Spokane Stallions,14,Glendale Centers,30
Jack,Kennedy,17,10,0,1,97,2012-05-02,Spokane Stallions,21,Des Moines Desperadoes,16
George,Bush,10,5,0,1,57,2012-05-02,Spokane Stallions,21,Des Moines Desperadoes,16
Jack,Kennedy,22,10,0,0,93,2012-05-09,Spokane Stallions,12,Augusta Autocrats,3
George,Bush,10,5,0,1,54,2012-05-09,Spokane Stallions,12,Augusta Autocrats,3
Jack,Kennedy,25,15,0,1,173,2012-05-16,Spokane Stallions,14,Grand Rapids Gamers,21
George,Bush,5,2,0,1,22,2012-05-16,Spokane Stallions,14,Grand Rapids Gamers,21
Jack,Kennedy,24,12,0,1,139,2012-05-23,Spokane Stallions,19,Huntington Beach Harriers,30
George,Bush,14,8,0,0,93,2012-05-23,Spokane Stallions,19,Huntington Beach Harriers,30
Jack,Kennedy,31,15,0,1,193,2012-05-30,Spokane Stallions,9,Mobile Misfits,14
Jack,Kennedy,38,24,0,3,279,2012-06-06,Spokane Stallions,29,Boise Bearcats,17
Jack,Kennedy,38,21,0,2,227,2012-06-13,Spokane Stallions,19,Modesto Misanthropes,23
Jack,Kennedy,34,20,0,3,257,2012-06-20,Spokane Stallions,27,Fremont Firebugs,3
Jack,Kennedy,39,18,0,2,228,2012-06-27,Spokane Stallions,18,Montgomery Music,41
Dubya,Bush,25,13,0,1,137,2012-03-21,Richmond Roustabouts,28,Yonkers Yellowjackets,9
Barry,Obama,12,8,0,2,130,2012-03-21,Richmond Roustabouts,28,Yonkers Yellowjackets,9
Dubya,Bush,34,15,0,2,129,2012-03-28,Richmond Roustabouts,17,Shreveport Seamen,23
Dubya,Bush,39,18,0,1,176,2012-04-04,Richmond Roustabouts,13,San Bernardino Stalkers,35
Dubya,Bush,31,12,0,0,106,2012-04-11,Richmond Roustabouts,2,Tacoma Touchdown-Scorers,14
Dubya,Bush,25,13,0,1,140,2012-04-18,Richmond Roustabouts,9,Glendale Centers,23
Dubya,Bush,25,12,0,1,94,2012-04-25,Richmond Roustabouts,18,Des Moines Desperadoes,27
Barry,Obama,5,3,0,1,52,2012-04-25,Richmond Roustabouts,18,Des Moines Desperadoes,27
Dubya,Bush,21,8,0,1,78,2012-05-02,Richmond Roustabouts,33,Augusta Autocrats,38
Barry,Obama,7,5,0,2,90,2012-05-02,Richmond Roustabouts,33,Augusta Autocrats,38
Dubya,Bush,25,14,0,1,109,2012-05-09,Richmond Roustabouts,8,Grand Rapids Gamers,6
Dubya,Bush,21,11,0,1,89,2012-05-16,Richmond Roustabouts,33,Huntington Beach Harriers,23
Barry,Obama,7,5,0,2,92,2012-05-16,Richmond Roustabouts,33,Huntington Beach Harriers,23
Dubya,Bush,29,13,0,2,127,2012-05-23,Richmond Roustabouts,14,Mobile Misfits,44
Dubya,Bush,19,9,0,1,77,2012-05-30,Richmond Roustabouts,17,Boise Bearcats,23
Barry,Obama,7,5,0,1,92,2012-05-30,Richmond Roustabouts,17,Boise Bearcats,23
Dubya,Bush,28,11,0,0,99,2012-06-06,Richmond Roustabouts,10,Modesto Misanthropes,20
Barry,Obama,7,5,0,1,80,2012-06-06,Richmond Roustabouts,10,Modesto Misanthropes,20
Dubya,Bush,25,11,0,0,97,2012-06-13,Richmond Roustabouts,6,Fremont Firebugs,17
Dubya,Bush,20,9,0,0,74,2012-06-20,Richmond Roustabouts,13,Montgomery Music,35
Barry,Obama,6,4,0,1,62,2012-06-20,Richmond Roustabouts,13,Montgomery Music,35
Dubya,Bush,28,13,0,1,107,2012-06-27,Richmond Roustabouts,12,Spokane Stallions,17
Barry,Obama,1,0,0,0,0,2012-06-27,Richmond Roustabouts,12,Spokane Stallions,17
John,Adams,33,9,1,1,48,2012-03-21,Yonkers Yellowjackets,19,Shreveport Seamen,28
John,Adams,39,9,1,0,46,2012-03-28,Yonkers Yellowjackets,11,San Bernardino Stalkers,23
John,Adams,31,9,1,1,47,2012-04-04,Yonkers Yellowjackets,10,Tacoma Touchdown-Scorers,35
John,Adams,22,7,1,1,37,2012-04-11,Yonkers Yellowjackets,7,Glendale Centers,14
Zach,Taylor,2,0,0,0,0,2012-04-11,Yonkers Yellowjackets,7,Glendale Centers,14
John,Adams,32,7,1,0,31,2012-04-18,Yonkers Yellowjackets,18,Des Moines Desperadoes,28
Zach,Taylor,6,3,0,1,24,2012-04-18,Yonkers Yellowjackets,18,Des Moines Desperadoes,28
John,Adams,27,6,1,1,30,2012-04-25,Yonkers Yellowjackets,13,Augusta Autocrats,13
Zach,Taylor,4,1,0,0,10,2012-04-25,Yonkers Yellowjackets,13,Augusta Autocrats,13
John,Adams,28,7,1,0,33,2012-05-02,Yonkers Yellowjackets,5,Grand Rapids Gamers,13
John,Adams,26,8,1,1,33,2012-05-09,Yonkers Yellowjackets,7,Huntington Beach Harriers,6
Zach,Taylor,9,3,0,0,31,2012-05-09,Yonkers Yellowjackets,7,Huntington Beach Harriers,6
John,Adams,19,6,1,1,25,2012-05-16,Yonkers Yellowjackets,22,Mobile Misfits,35
Zach,Taylor,6,2,0,1,16,2012-05-16,Yonkers Yellowjackets,22,Mobile Misfits,35
John,Adams,27,8,1,1,33,2012-05-23,Yonkers Yellowjackets,11,Boise Bearcats,16
John,Adams,27,9,1,1,39,2012-05-30,Yonkers Yellowjackets,16,Modesto Misanthropes,0
Zach,Taylor,7,4,0,1,38,2012-05-30,Yonkers Yellowjackets,16,Modesto Misanthropes,0
John,Adams,24,8,1,1,35,2012-06-06,Yonkers Yellowjackets,21,Fremont Firebugs,38
Zach,Taylor,8,4,0,1,35,2012-06-06,Yonkers Yellowjackets,21,Fremont Firebugs,38
John,Adams,29,11,1,0,44,2012-06-13,Yonkers Yellowjackets,11,Montgomery Music,30
John,Adams,32,9,1,0,46,2012-06-20,Yonkers Yellowjackets,10,Spokane Stallions,16
Zach,Taylor,2,1,0,0,8,2012-06-20,Yonkers Yellowjackets,10,Spokane Stallions,16
John,Adams,37,10,1,1,40,2012-06-27,Yonkers Yellowjackets,16,Richmond Roustabouts,30
Frank,Pierce,35,15,1,1,119,2012-03-21,Shreveport Seamen,15,San Bernardino Stalkers,44
Frank,Pierce,31,15,1,0,117,2012-03-28,Shreveport Seamen,1,Tacoma Touchdown-Scorers,7
Frank,Pierce,29,11,1,1,109,2012-04-04,Shreveport Seamen,17,Glendale Centers,23
Frank,Pierce,25,11,1,0,79,2012-04-11,Shreveport Seamen,5,Des Moines Desperadoes,28
Frank,Pierce,36,17,1,1,148,2012-04-18,Shreveport Seamen,19,Augusta Autocrats,21
Frank,Pierce,20,8,1,1,60,2012-04-25,Shreveport Seamen,18,Grand Rapids Gamers,38
Martin,Van Buren,6,3,0,1,41,2012-04-25,Shreveport Seamen,18,Grand Rapids Gamers,38
Frank,Pierce,18,8,1,1,62,2012-05-02,Shreveport Seamen,15,Huntington Beach Harriers,3
Martin,Van Buren,11,7,0,1,87,2012-05-02,Shreveport Seamen,15,Huntington Beach Harriers,3
Frank,Pierce,39,14,1,0,98,2012-05-09,Shreveport Seamen,12,Mobile Misfits,20
Frank,Pierce,25,12,1,1,107,2012-05-16,Shreveport Seamen,32,Boise Bearcats,14
Martin,Van Buren,13,9,0,2,97,2012-05-16,Shreveport Seamen,32,Boise Bearcats,14
Frank,Pierce,31,14,1,1,119,2012-05-23,Shreveport Seamen,15,Modesto Misanthropes,20
Frank,Pierce,22,9,1,0,87,2012-05-30,Shreveport Seamen,9,Fremont Firebugs,24
Martin,Van Buren,7,3,0,1,41,2012-05-30,Shreveport Seamen,9,Fremont Firebugs,24
Frank,Pierce,31,11,1,1,85,2012-06-06,Shreveport Seamen,9,Montgomery Music,0
Frank,Pierce,35,13,1,1,114,2012-06-13,Shreveport Seamen,15,Spokane Stallions,24
Frank,Pierce,26,12,1,1,93,2012-06-20,Shreveport Seamen,11,Richmond Roustabouts,13
Frank,Pierce,33,16,1,1,148,2012-06-27,Shreveport Seamen,17,Yonkers Yellowjackets,37
Martin,Van Buren,1,0,0,0,0,2012-06-27,Shreveport Seamen,17,Yonkers Yellowjackets,37
James,Garfield,28,19,0,2,233,2012-03-21,San Bernardino Stalkers,19,Tacoma Touchdown-Scorers,27
James,Garfield,30,20,0,3,230,2012-03-28,San Bernardino Stalkers,32,Glendale Centers,34
James,Garfield,16,8,0,0,89,2012-04-04,San Bernardino Stalkers,12,Des Moines Desperadoes,6
Gerry,Ford,9,3,1,1,26,2012-04-04,San Bernardino Stalkers,12,Des Moines Desperadoes,6
James,Garfield,32,19,0,2,200,2012-04-11,San Bernardino Stalkers,26,Augusta Autocrats,3
James,Garfield,26,16,0,1,171,2012-04-18,San Bernardino Stalkers,11,Grand Rapids Gamers,44
Gerry,Ford,9,4,1,0,30,2012-04-18,San Bernardino Stalkers,11,Grand Rapids Gamers,44
James,Garfield,27,13,0,2,174,2012-04-25,San Bernardino Stalkers,25,Huntington Beach Harriers,24
Gerry,Ford,3,1,1,0,9,2012-04-25,San Bernardino Stalkers,25,Huntington Beach Harriers,24
James,Garfield,19,11,0,1,118,2012-05-02,San Bernardino Stalkers,23,Mobile Misfits,3
Gerry,Ford,7,2,1,1,13,2012-05-02,San Bernardino Stalkers,23,Mobile Misfits,3
James,Garfield,31,19,0,2,256,2012-05-09,San Bernardino Stalkers,20,Boise Bearcats,21
James,Garfield,26,14,0,1,170,2012-05-16,San Bernardino Stalkers,19,Modesto Misanthropes,37
Gerry,Ford,4,1,1,0,7,2012-05-16,San Bernardino Stalkers,19,Modesto Misanthropes,37
James,Garfield,27,17,0,1,195,2012-05-23,San Bernardino Stalkers,19,Fremont Firebugs,37
James,Garfield,35,22,1,4,300,2012-05-30,San Bernardino Stalkers,33,Montgomery Music,24
James,Garfield,30,16,0,2,189,2012-06-06,San Bernardino Stalkers,18,Spokane Stallions,3
James,Garfield,21,14,0,2,182,2012-06-13,San Bernardino Stalkers,17,Richmond Roustabouts,10
Gerry,Ford,6,2,1,0,13,2012-06-13,San Bernardino Stalkers,17,Richmond Roustabouts,10
James,Garfield,36,24,0,3,321,2012-06-20,San Bernardino Stalkers,31,Yonkers Yellowjackets,24
James,Garfield,37,22,0,3,301,2012-06-27,San Bernardino Stalkers,29,Shreveport Seamen,31
Abe,Lincoln,18,10,0,1,120,2012-03-21,Tacoma Touchdown-Scorers,24,Glendale Centers,20
Bill,Clinton,11,4,0,1,35,2012-03-21,Tacoma Touchdown-Scorers,24,Glendale Centers,20
Abe,Lincoln,31,21,0,3,235,2012-03-28,Tacoma Touchdown-Scorers,29,Des Moines Desperadoes,17
Abe,Lincoln,27,18,0,3,267,2012-04-04,Tacoma Touchdown-Scorers,27,Augusta Autocrats,31
Abe,Lincoln,27,15,0,2,197,2012-04-11,Tacoma Touchdown-Scorers,22,Grand Rapids Gamers,3
Abe,Lincoln,38,22,0,4,274,2012-04-18,Tacoma Touchdown-Scorers,40,Huntington Beach Harriers,9
Abe,Lincoln,29,19,0,3,271,2012-04-25,Tacoma Touchdown-Scorers,27,Mobile Misfits,38
Abe,Lincoln,26,19,0,2,248,2012-05-02,Tacoma Touchdown-Scorers,19,Boise Bearcats,3
Bill,Clinton,2,0,0,0,0,2012-05-02,Tacoma Touchdown-Scorers,19,Boise Bearcats,3
Abe,Lincoln,25,13,0,2,197,2012-05-09,Tacoma Touchdown-Scorers,22,Modesto Misanthropes,27
Bill,Clinton,10,3,0,1,32,2012-05-09,Tacoma Touchdown-Scorers,22,Modesto Misanthropes,27
Abe,Lincoln,20,12,0,2,186,2012-05-16,Tacoma Touchdown-Scorers,18,Fremont Firebugs,14
Bill,Clinton,11,4,0,0,42,2012-05-16,Tacoma Touchdown-Scorers,18,Fremont Firebugs,14
Abe,Lincoln,39,25,0,4,384,2012-05-23,Tacoma Touchdown-Scorers,29,Montgomery Music,3
Abe,Lincoln,27,16,0,2,238,2012-05-30,Tacoma Touchdown-Scorers,15,Spokane Stallions,35
Bill,Clinton,11,6,0,0,57,2012-05-30,Tacoma Touchdown-Scorers,15,Spokane Stallions,35
Abe,Lincoln,39,26,0,3,349,2012-06-06,Tacoma Touchdown-Scorers,30,Richmond Roustabouts,38
Abe,Lincoln,28,19,0,3,293,2012-06-13,Tacoma Touchdown-Scorers,31,Yonkers Yellowjackets,21
Abe,Lincoln,36,26,0,4,381,2012-06-20,Tacoma Touchdown-Scorers,29,Shreveport Seamen,37
Abe,Lincoln,29,18,0,3,213,2012-06-27,Tacoma Touchdown-Scorers,31,San Bernardino Stalkers,34
Andy,Jackson,37,28,0,4,380,2012-03-21,Glendale Centers,37,Des Moines Desperadoes,10
Andy,Jackson,37,27,0,4,332,2012-03-28,Glendale Centers,28,Augusta Autocrats,21
Andy,Jackson,36,27,0,4,330,2012-04-04,Glendale Centers,36,Grand Rapids Gamers,9
Andy,Jackson,28,16,0,2,222,2012-04-11,Glendale Centers,20,Huntington Beach Harriers,21
Andy,Jackson,27,18,0,2,215,2012-04-18,Glendale Centers,35,Mobile Misfits,9
Franklin,Roosevelt,8,5,0,2,87,2012-04-18,Glendale Centers,35,Mobile Misfits,9
Andy,Jackson,20,15,0,2,227,2012-04-25,Glendale Centers,31,Boise Bearcats,10
Franklin,Roosevelt,11,8,0,2,144,2012-04-25,Glendale Centers,31,Boise Bearcats,10
Andy,Jackson,21,12,0,3,183,2012-05-02,Glendale Centers,28,Modesto Misanthropes,13
Franklin,Roosevelt,4,3,0,1,48,2012-05-02,Glendale Centers,28,Modesto Misanthropes,13
Andy,Jackson,19,13,0,2,196,2012-05-09,Glendale Centers,40,Fremont Firebugs,17
Franklin,Roosevelt,9,7,0,2,111,2012-05-09,Glendale Centers,40,Fremont Firebugs,17
Andy,Jackson,29,17,0,2,255,2012-05-16,Glendale Centers,25,Montgomery Music,14
Andy,Jackson,29,20,0,4,309,2012-05-23,Glendale Centers,53,Spokane Stallions,38
Franklin,Roosevelt,9,6,0,2,88,2012-05-23,Glendale Centers,53,Spokane Stallions,38
Andy,Jackson,23,13,0,2,178,2012-05-30,Glendale Centers,28,Richmond Roustabouts,10
Franklin,Roosevelt,8,6,0,1,109,2012-05-30,Glendale Centers,28,Richmond Roustabouts,10
Andy,Jackson,36,22,0,3,307,2012-06-06,Glendale Centers,26,Yonkers Yellowjackets,38
Andy,Jackson,35,26,0,4,346,2012-06-13,Glendale Centers,29,Shreveport Seamen,17
Andy,Jackson,38,24,0,3,277,2012-06-20,Glendale Centers,25,San Bernardino Stalkers,30
Andy,Jackson,37,23,0,4,330,2012-06-27,Glendale Centers,38,Tacoma Touchdown-Scorers,0
John,Tyler,36,10,1,1,76,2012-03-21,Des Moines Desperadoes,8,Augusta Autocrats,0
John,Tyler,35,10,1,0,55,2012-03-28,Des Moines Desperadoes,6,Grand Rapids Gamers,27
John,Tyler,32,14,1,1,85,2012-04-04,Des Moines Desperadoes,16,Huntington Beach Harriers,35
John,Tyler,26,10,1,1,77,2012-04-11,Des Moines Desperadoes,11,Mobile Misfits,17
John,Tyler,30,11,1,1,86,2012-04-18,Des Moines Desperadoes,18,Boise Bearcats,23
John,Tyler,25,7,1,1,50,2012-04-25,Des Moines Desperadoes,25,Modesto Misanthropes,7
Andrew,Johnson,12,9,0,1,139,2012-04-25,Des Moines Desperadoes,25,Modesto Misanthropes,7
John,Tyler,25,7,1,1,43,2012-05-02,Des Moines Desperadoes,24,Fremont Firebugs,44
Andrew,Johnson,10,8,0,2,136,2012-05-02,Des Moines Desperadoes,24,Fremont Firebugs,44
John,Tyler,23,6,1,1,41,2012-05-09,Des Moines Desperadoes,20,Montgomery Music,24
Andrew,Johnson,8,5,0,1,81,2012-05-09,Des Moines Desperadoes,20,Montgomery Music,24
John,Tyler,27,7,1,1,49,2012-05-16,Des Moines Desperadoes,18,Spokane Stallions,7
John,Tyler,27,10,1,1,72,2012-05-23,Des Moines Desperadoes,26,Richmond Roustabouts,20
Andrew,Johnson,11,9,0,2,167,2012-05-23,Des Moines Desperadoes,26,Richmond Roustabouts,20
John,Tyler,26,10,1,0,76,2012-05-30,Des Moines Desperadoes,3,Yonkers Yellowjackets,24
John,Tyler,35,13,1,0,76,2012-06-06,Des Moines Desperadoes,7,Shreveport Seamen,30
John,Tyler,39,12,1,0,77,2012-06-13,Des Moines Desperadoes,9,San Bernardino Stalkers,21
John,Tyler,35,12,1,0,88,2012-06-20,Des Moines Desperadoes,7,Tacoma Touchdown-Scorers,6
John,Tyler,24,6,1,1,37,2012-06-27,Des Moines Desperadoes,10,Glendale Centers,20
James,Madison,26,19,0,4,292,2012-03-21,Augusta Autocrats,38,Grand Rapids Gamers,38
James,Madison,36,26,0,4,360,2012-03-28,Augusta Autocrats,34,Huntington Beach Harriers,38
James,Madison,29,19,0,3,258,2012-04-04,Augusta Autocrats,26,Mobile Misfits,38
James,Madison,27,19,0,3,264,2012-04-11,Augusta Autocrats,28,Boise Bearcats,38
Ben,Harrison,5,2,0,1,20,2012-04-11,Augusta Autocrats,28,Boise Bearcats,38
James,Madison,24,17,0,3,239,2012-04-18,Augusta Autocrats,28,Modesto Misanthropes,6
Ben,Harrison,7,4,0,1,41,2012-04-18,Augusta Autocrats,28,Modesto Misanthropes,6
James,Madison,30,18,0,4,267,2012-04-25,Augusta Autocrats,39,Fremont Firebugs,23
James,Madison,36,26,0,5,325,2012-05-02,Augusta Autocrats,50,Montgomery Music,16
Ben,Harrison,2,1,0,1,11,2012-05-02,Augusta Autocrats,50,Montgomery Music,16
James,Madison,37,27,0,5,438,2012-05-09,Augusta Autocrats,44,Spokane Stallions,41
James,Madison,36,27,0,5,395,2012-05-16,Augusta Autocrats,35,Richmond Roustabouts,44
James,Madison,26,16,0,3,205,2012-05-23,Augusta Autocrats,22,Yonkers Yellowjackets,21
James,Madison,30,18,0,4,292,2012-05-30,Augusta Autocrats,28,Shreveport Seamen,6
James,Madison,38,30,0,5,422,2012-06-06,Augusta Autocrats,44,San Bernardino Stalkers,31
James,Madison,27,17,0,3,231,2012-06-13,Augusta Autocrats,21,Tacoma Touchdown-Scorers,37
James,Madison,28,17,0,3,205,2012-06-20,Augusta Autocrats,24,Glendale Centers,27
Ben,Harrison,5,2,0,0,27,2012-06-20,Augusta Autocrats,24,Glendale Centers,27
James,Madison,31,20,0,4,252,2012-06-27,Augusta Autocrats,30,Des Moines Desperadoes,24
Ike,Eisenhower,31,16,0,2,206,2012-03-21,Grand Rapids Gamers,14,Huntington Beach Harriers,44
Ike,Eisenhower,27,17,0,2,219,2012-03-28,Grand Rapids Gamers,26,Mobile Misfits,21
Ike,Eisenhower,32,16,0,1,169,2012-04-04,Grand Rapids Gamers,15,Boise Bearcats,28
Ike,Eisenhower,27,15,0,1,192,2012-04-11,Grand Rapids Gamers,8,Modesto Misanthropes,27
Ike,Eisenhower,35,22,0,2,278,2012-04-18,Grand Rapids Gamers,18,Fremont Firebugs,14
James,Monroe,1,0,0,0,0,2012-04-18,Grand Rapids Gamers,18,Fremont Firebugs,14
Ike,Eisenhower,35,19,0,2,188,2012-04-25,Grand Rapids Gamers,17,Montgomery Music,37
Ike,Eisenhower,25,16,0,1,157,2012-05-02,Grand Rapids Gamers,7,Spokane Stallions,37
Ike,Eisenhower,30,18,0,3,226,2012-05-09,Grand Rapids Gamers,22,Richmond Roustabouts,9
Ike,Eisenhower,37,18,0,2,178,2012-05-16,Grand Rapids Gamers,22,Yonkers Yellowjackets,21
Ike,Eisenhower,31,20,0,1,203,2012-05-23,Grand Rapids Gamers,7,Shreveport Seamen,35
Ike,Eisenhower,37,23,0,2,229,2012-05-30,Grand Rapids Gamers,20,San Bernardino Stalkers,0
Ike,Eisenhower,39,23,0,3,242,2012-06-06,Grand Rapids Gamers,31,Tacoma Touchdown-Scorers,44
Ike,Eisenhower,29,16,0,1,193,2012-06-13,Grand Rapids Gamers,26,Glendale Centers,27
James,Monroe,2,1,0,1,16,2012-06-13,Grand Rapids Gamers,26,Glendale Centers,27
Ike,Eisenhower,27,14,0,2,166,2012-06-20,Grand Rapids Gamers,21,Des Moines Desperadoes,20
Ike,Eisenhower,32,16,0,1,176,2012-06-27,Grand Rapids Gamers,10,Augusta Autocrats,7
Harry,Truman,25,19,0,4,321,2012-03-21,Huntington Beach Harriers,33,Mobile Misfits,20
Harry,Truman,29,21,0,6,386,2012-03-28,Huntington Beach Harriers,45,Boise Bearcats,31
Harry,Truman,34,26,0,5,381,2012-04-04,Huntington Beach Harriers,35,Modesto Misanthropes,44
Harry,Truman,34,29,0,7,497,2012-04-11,Huntington Beach Harriers,57,Fremont Firebugs,17
Harry,Truman,34,23,0,4,315,2012-04-18,Huntington Beach Harriers,38,Montgomery Music,0
Harry,Truman,26,21,0,4,343,2012-04-25,Huntington Beach Harriers,28,Spokane Stallions,34
Teddy,Roosevelt,11,7,0,0,84,2012-04-25,Huntington Beach Harriers,28,Spokane Stallions,34
Harry,Truman,31,25,0,6,398,2012-05-02,Huntington Beach Harriers,52,Richmond Roustabouts,44
Harry,Truman,33,27,0,7,485,2012-05-09,Huntington Beach Harriers,49,Yonkers Yellowjackets,17
Harry,Truman,36,29,0,6,387,2012-05-16,Huntington Beach Harriers,47,Shreveport Seamen,23
Harry,Truman,34,28,0,7,491,2012-05-23,Huntington Beach Harriers,57,San Bernardino Stalkers,38
Harry,Truman,29,19,0,4,275,2012-05-30,Huntington Beach Harriers,28,Tacoma Touchdown-Scorers,7
Harry,Truman,37,30,0,8,551,2012-06-06,Huntington Beach Harriers,66,Glendale Centers,17
Harry,Truman,35,23,0,5,403,2012-06-13,Huntington Beach Harriers,47,Des Moines Desperadoes,21
Harry,Truman,25,21,0,5,312,2012-06-20,Huntington Beach Harriers,50,Augusta Autocrats,27
Teddy,Roosevelt,2,1,0,1,10,2012-06-20,Huntington Beach Harriers,50,Augusta Autocrats,27
Harry,Truman,39,27,0,6,464,2012-06-27,Huntington Beach Harriers,46,Grand Rapids Gamers,24
Millard,Fillmore,25,19,0,4,289,2012-03-21,Mobile Misfits,40,Boise Bearcats,38
Millard,Fillmore,39,31,0,5,425,2012-03-28,Mobile Misfits,35,Modesto Misanthropes,13
Millard,Fillmore,29,25,0,6,457,2012-04-04,Mobile Misfits,53,Fremont Firebugs,13
Millard,Fillmore,26,20,0,5,308,2012-04-11,Mobile Misfits,38,Montgomery Music,37
Millard,Fillmore,21,15,0,4,220,2012-04-18,Mobile Misfits,47,Spokane Stallions,9
Jim,Buchanan,14,9,0,1,135,2012-04-18,Mobile Misfits,47,Spokane Stallions,9
Millard,Fillmore,25,17,0,4,276,2012-04-25,Mobile Misfits,37,Richmond Roustabouts,3
Millard,Fillmore,36,28,0,8,516,2012-05-02,Mobile Misfits,65,Yonkers Yellowjackets,14
Jim,Buchanan,2,1,0,0,13,2012-05-02,Mobile Misfits,65,Yonkers Yellowjackets,14
Millard,Fillmore,30,25,0,6,363,2012-05-09,Mobile Misfits,53,Shreveport Seamen,16
Millard,Fillmore,21,17,0,4,264,2012-05-16,Mobile Misfits,30,San Bernardino Stalkers,27
Jim,Buchanan,9,5,0,0,79,2012-05-16,Mobile Misfits,30,San Bernardino Stalkers,27
Millard,Fillmore,30,21,0,4,294,2012-05-23,Mobile Misfits,28,Tacoma Touchdown-Scorers,0
Millard,Fillmore,36,27,0,6,417,2012-05-30,Mobile Misfits,46,Glendale Centers,28
Millard,Fillmore,15,11,0,3,158,2012-06-06,Mobile Misfits,45,Des Moines Desperadoes,3
Jim,Buchanan,9,6,0,2,95,2012-06-06,Mobile Misfits,45,Des Moines Desperadoes,3
Millard,Fillmore,28,21,0,5,402,2012-06-13,Mobile Misfits,45,Augusta Autocrats,37
Millard,Fillmore,31,23,0,4,351,2012-06-20,Mobile Misfits,34,Grand Rapids Gamers,16
Millard,Fillmore,39,28,0,6,487,2012-06-27,Mobile Misfits,53,Huntington Beach Harriers,20
Chet,Arthur,29,19,0,3,201,2013-03-20,Boise Bearcats,31,Modesto Misanthropes,13
Chet,Arthur,31,18,0,2,235,2013-03-27,Boise Bearcats,16,Fremont Firebugs,41
Chet,Arthur,32,20,0,3,270,2013-04-03,Boise Bearcats,27,Montgomery Music,38
James,Polk,2,0,1,0,0,2013-04-03,Boise Bearcats,27,Montgomery Music,38
Chet,Arthur,31,16,0,2,197,2013-04-10,Boise Bearcats,21,Spokane Stallions,21
James,Polk,3,1,1,1,9,2013-04-10,Boise Bearcats,21,Spokane Stallions,21
Chet,Arthur,34,19,0,2,219,2013-04-17,Boise Bearcats,19,Richmond Roustabouts,34
Chet,Arthur,33,17,0,1,190,2013-04-24,Boise Bearcats,14,Yonkers Yellowjackets,16
Chet,Arthur,27,14,0,3,201,2013-05-01,Boise Bearcats,33,Shreveport Seamen,34
James,Polk,5,2,1,0,15,2013-05-01,Boise Bearcats,33,Shreveport Seamen,34
Chet,Arthur,30,17,0,2,234,2013-05-08,Boise Bearcats,21,San Bernardino Stalkers,13
James,Polk,4,1,1,1,9,2013-05-08,Boise Bearcats,21,San Bernardino Stalkers,13
Chet,Arthur,35,23,0,2,254,2013-05-15,Boise Bearcats,22,Tacoma Touchdown-Scorers,7
Chet,Arthur,27,15,0,2,152,2013-05-22,Boise Bearcats,23,Glendale Centers,27
Chet,Arthur,28,15,0,2,204,2013-05-29,Boise Bearcats,23,Des Moines Desperadoes,37
James,Polk,6,3,1,0,28,2013-05-29,Boise Bearcats,23,Des Moines Desperadoes,37
Chet,Arthur,30,20,0,2,227,2013-06-05,Boise Bearcats,14,Augusta Autocrats,6
Chet,Arthur,39,21,0,3,264,2013-06-12,Boise Bearcats,26,Grand Rapids Gamers,13
Chet,Arthur,38,19,0,2,272,2013-06-19,Boise Bearcats,21,Huntington Beach Harriers,44
Chet,Arthur,38,25,0,3,295,2013-06-26,Boise Bearcats,21,Mobile Misfits,37
George,Washington,22,13,0,3,193,2013-03-20,Modesto Misanthropes,34,Fremont Firebugs,13
William,McKinley,7,4,0,1,54,2013-03-20,Modesto Misanthropes,34,Fremont Firebugs,13
George,Washington,31,18,0,2,216,2013-03-27,Modesto Misanthropes,17,Montgomery Music,27
William,McKinley,6,3,0,0,35,2013-03-27,Modesto Misanthropes,17,Montgomery Music,27
George,Washington,37,21,0,3,300,2013-04-03,Modesto Misanthropes,21,Spokane Stallions,34
George,Washington,28,20,0,3,219,2013-04-10,Modesto Misanthropes,27,Richmond Roustabouts,0
George,Washington,31,19,0,3,218,2013-04-17,Modesto Misanthropes,32,Yonkers Yellowjackets,21
William,McKinley,5,2,0,0,23,2013-04-17,Modesto Misanthropes,32,Yonkers Yellowjackets,21
George,Washington,30,18,0,3,246,2013-04-24,Modesto Misanthropes,26,Shreveport Seamen,13
William,McKinley,8,5,0,0,51,2013-04-24,Modesto Misanthropes,26,Shreveport Seamen,13
George,Washington,27,17,0,2,199,2013-05-01,Modesto Misanthropes,21,San Bernardino Stalkers,27
George,Washington,26,15,0,2,208,2013-05-08,Modesto Misanthropes,26,Tacoma Touchdown-Scorers,38
George,Washington,28,19,0,3,225,2013-05-15,Modesto Misanthropes,25,Glendale Centers,21
George,Washington,32,20,0,2,230,2013-05-22,Modesto Misanthropes,20,Des Moines Desperadoes,6
George,Washington,19,10,0,1,121,2013-05-29,Modesto Misanthropes,15,Augusta Autocrats,37
William,McKinley,9,5,0,1,59,2013-05-29,Modesto Misanthropes,15,Augusta Autocrats,37
George,Washington,25,17,0,2,220,2013-06-05,Modesto Misanthropes,25,Grand Rapids Gamers,31
William,McKinley,2,1,0,0,12,2013-06-05,Modesto Misanthropes,25,Grand Rapids Gamers,31
George,Washington,34,19,0,2,257,2013-06-12,Modesto Misanthropes,14,Huntington Beach Harriers,27
